// object has instance vars and isn't a class, get a snapshot to be marshalled // and output the ivar header here
// line 1480
// make all sockets blocking as configured again // close unregisters all channels, so we can safely reset blocking modes
// normal all-rest method
// line 1210
// TODO: make more efficient by not creating IRubyArray[]
// TODO: Ruby unlocks the string here
// We don't append '+' since Java number parser gets confused
// We could not find all of them print out first one (we could print them all?)
// EQ == 0 (i.e. false) // pop the extra result and replace with the send part of the AND
// line 1814
// confirm maximum not greater than optional
// RubyIPSocket
// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.
// line 1320
// TODO: wire into new exception handling mechanism
// rubyObject is already of the required jruby class (or subclass)
// we set all Java methods to optional, since many/most have overloads
// line 1434
// line 407
// Count of nested parentheses (1.9 only)
// A scoped location of this variable (high 16 bits is how many scopes down and low 16 bits // is what index in the right scope to set the value.
// line 543
// first char must be digit or decimal point
// with block literal (iter)
//consume the file name
// any exceptions raised must continue to be raised, skipping $! restoration
// if we expect a return value, unwrap it
// FIXME: This is probably not very efficient, since it loads all methods for each call
// Does this instruction have side effects as a result of its operation // This information is used in optimization phases to impact dead code elimination // and other optimization passes
// ////////////////// COMMON CONSTANT / CVAR METHODS //////////////// //
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// just save a count of zeroes for now; if no digit // ends up following them, they'll be applied to the // exponent rather than the significand (and our max // length for optimistic calc).
// line 1207
// This is almost always already interned, since it will be called with a symbol in most cases // but when created from Java code, we might get an argument that needs to be interned. // addAccessor has as a precondition that the string MUST be interned
// rb_reg_raise
// // Avoid double-copying for reads that are larger than the buffer size, or // the destination is a direct buffer. //
// quietly try to load the class
// Line where current executing unit is being evaluated
// no-arg constructor using static references to Ruby and RubyClass
// If we have more than one arg, make sure the array created to contain them is not ObjectSpaced
// add $RUBYLIB paths
// Accessor methods.
// See [ruby-core:17483]
// Default objects
// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.
"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel,     * we must also add this boolean to check, which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross, and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
// default for starting tempVariableIndex is ok
// Stores
// line 159 "-" // %token constants
// // rb_str_buf_append
// The name of the variable
// all these types are immediately considered "defined"
// What linenumber will the source think it starts from?
// clear runtime so it doesn't get stuck in memory (JRUBY-2933)
// line 1075
// For closures, a redo is a jump to the beginning of the closure // For non-closures, a redo is a jump to the beginning of the loop
// This is needed when the enclosing class or module is a singleton. // In that case, we generated a name such as null::Foo, which broke  // Marshalling, among others. The correct thing to do in this situation  // is to insert the generate the name of form #<Class:01xasdfasd> if  // it's a singleton module/class, which this code accomplishes.
// generate method cache initialization code
// line 757
// ignore // switch
// we can't rename a file while it's open in windows
// TODO: make it 16 now ? // MUST be power of 2!
// Don't bother
// this is a rather ugly hack, but similar to MRI. See hash.c:ruby_setenv and similar in MRI // we search all keys for a case-insensitive match, and use that
// range_each_func(range, step_i, b, e, args);
// line 836
//                case FLOAT:
// A thread pool to use for executing this runtime's Ruby threads
// TODO: READ_CHECK from MRI
// build a list of all modules to consider for inclusion
// ------ Define the operations below ----
// line 429
// FIXME: inefficient; constructing a bignum just for dumping?
// ignore; we won't use invokedynamic
// dangling '%' char
// TODO: add trace call?
"/*  ================     *  Instance Methods     *  ================      */"
// restore position
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.
// Dir::tmpdir
/* EvStrNode :"#{some expression}"*/
// line 604
// if root of method is rescue, build as a light rescue
// local scopes are argument scopes by default
"/*        result = eval(""arr = Array::['c', 200]; p arr"");        assertEquals(""[\""c\"", 200]"", result);        result = eval(""arr = Array.['d', 200]; p arr"");        assertEquals(""[\""d\"", 200]"", result);        */"
// refresh call adapter, since it matters if this is iter-based or not
// If 'v' is not live at the instruction site, and it has no side effects, mark it dead!
// line 1213
// cleanup, raising errors if any
// Has read/write been closed or is it still open for business
// new instance to invoke run against
/* $*: argv */
/* .setPosFrom($2);*/
// FIXME: the code below is a copy of RubyIO.puts, // and we should avoid copy-paste.
// handle everything after -- as arguments to the jruby process
// FIXME: I don't like the null checks here
// Error info is per-thread
// if it's an array of arrays, recurse with the component type
// RubySignal
// If we could not find the constant from cref..then try getting from inheritence hierarchy
// Clean-up string representation so that it could be understood // by Java's BigDecimal. Not terribly efficient for now. // 1. MRI allows d and D as exponent separators
// it's either as converted as we can make it via above logic or it's // not one of the types we convert, so just pass it out as-is without wrapping
// initialize the root of the class hierarchy completely
// line 1155
// fall back on env entry for USER
// deal with length/width
// 1. Load the module first (lhs of node) // 2. Then load the constant from the module
// this method is for finalizers registered via ObjectSpace
// Prepare LoadService and load path
// Make sure the appropriate scope has proper size. See JRUBY-2046.
// unsigned int, native
// default PidGetter
// wrap in try/catch for security exceptions in an applet
// FIXME: Big fat hack here, because scope names are expected to be interned strings by the parser
// JRUBY-2938 the proxy class might already exist
// jump back to the top of the main body of this closure
// seek to force underlying buffer to flush
// close without removing from finalizers
// This is a fairly specific hack for empty string, but it does the job
// volatile to ensure that initial nil-fill is visible to other threads
// A global object lock for class hierarchy mutations
// initial size // state stack // value stack // current input // #tokens to shift
/* Workaround for JRUBY-2326 (MRI does not enter this production for some reason)*/
// superClazz = null;
//        _lexicalNestingLevel = lexicalParent == null ? 0 : ((IR_ScopeImpl)lexicalParent)._lexicalNestingLevel + 1;
// We always open this rw since we can only open it r or rw.
// First, build an assignment for a splat, if any, with the rest of the args!
// line 726
// line 607
// The following three methods must be defined fast, since they expect to modify the current frame // (i.e. they expect no frame will be allocated for them). JRUBY-1185.
// // INSTANCE VARIABLE METHODS //
// 1.9 seems to just do inspect for to_s now
// undo check
// QTRUE
// line 964
// // Force the client socket to be blocking //
// we all all superclasses, but avoid adding superclass methods with same name+signature as subclass methods // see JRUBY-3130
// No hex value after the 'x'.
// FIXME: what should this really be?       assert x instanceof RubyComplex;
// Create a new closure context
// go through negated powers of 32 until we find one small enough
// host is nil or the empty string, bind to INADDR_ANY
// If no explicit block passed to super, then use the one passed in, unless it's explicitly cleared with nil
//System.err.println("figureOutBase()/base=" + base);
// we set scope-aware to true to force heap-based locals
// TODO: missing additional logic for dealing with conflicting protected fields.
// // Copy what is in the buffer, if there is some buffered data //
// up two slots, for long's two halves
// TODO: note lack of command.com support for Win 9x...
// build first node (and ignore its result) and then second node
// TODO: pipe handler to be reopened with path and "w" mode
// line 1464
// XXX This constructor is a hack to implement the __END__ syntax. //     Converting a reader back into an InputStream doesn't generally work.
// line 648
// no args
// look for mangling markers for bound, unframed methods in class name
// ////////////////// CONSTANT API METHODS //////////////// //
// if it's a compiled JRuby script, instantiate and run it
// We use a highly uncommon string to represent the paragraph delimiter (100% soln not worth it)
// Determine how many of type are needed (default: 1)
// line 1753
// standard constructor that accepts Ruby, RubyClass
// currBB cannot be null!
//str is frozen
// Check if we can optimize this call based on the receiving method and receiver type // Use the simplified receiver!
// We define an actual list to get around bug in java integration (1387115)
// // Register any new blocking I/O requests //
// For JDK 1.4 we can use "cal.getTimeInMillis()"
// No seconds, just yield
// We use offset here to keep track of extra newlines for windows
// RubyBigdecimal
// no dec digits, end of parseable data, go to calc
// populate commandline with NG-provided stuff
//call post method stuff (exception raised)
// TODO: It's perhaps just a coincidence that all the channels for // which we should raise are instanceof SelectableChannel, since // stdio is not...so this bothers me slightly. -CON
/* SSS FIXME: Do we need to check if l is same as whatever popped? */
// rb_enc_precise_mbclen
// create a new temporary variable
// TODO: turn off the negative? will return -0.0 in lax mode
// Satisfy java.util.Set interface (for Java integration)
// Value of the last expression in the block
// ok, we have fast paths
// weakly reserved names
// no canonical path yet or length is zero, and we have a / followed by a dot...
// FIXME: create AttrReaderMethod, AttrWriterMethod, for faster attr access
// ?O  | boolean | True if file1 exists and is owned by the caller's real uid
// If an IO exception occurs (something odd, but possible) // A directory may return null.
// run ten separate calls into Ruby, with delay and explicit GC
// special constructor that accepts stream, not channel
// next entry to return // current slot // current entry
// FIXME: null check is removable once we figure out how to assign to unset named block args
// ?C  | Time    | Last change time for file1
// line 1011
// check the condition
// TODO: opt for 2 and 3 ?
// For 'b.foo'
// line 1485
// prefill ?
// FIXME: Make bodyNode non-null in parser
// set up a local Ruby variable
"/*  ================     *  Singleton Methods     *  ================      */"
// line 1136
// 'Z' adds extra null pad (versus 'a')
// -1 == don't set permissions
// SSS FIXME: Receiver -- this is the class meta object basically? // Operand receiver = build(defsNode.getReceiverNode(), s);
// if we've found the last char of the separator, // and we've found at least as many characters as separator length, // and the last n characters of our buffer match the separator, we're done
// Proc.new needs the caller's block to instantiate a proc
// index of left-most brace // index of right-most brace
// promise to implement N with block
// finally, grab the script
// arg grouping, use slower arg walking logic
// This is for JRUBY-2988, since after a suspend the terminal seems // to need to be reinitialized. Since we can't easily detect suspension, // initialize after every readline. Probably not fast, but this is for // interactive terminals anyway...so who cares?
// line 1972
// must be at least one digit for strict
// rb_enc_reg_error_desc
// MRI behavior on Windows: it treats '/' as a root of // a current drive (but only if SINGLE slash is present!): // E.g., if current work directory is // 'D:/home/directory', then '/' means 'D:/'. // // Basically, '/path' is treated as a *RELATIVE* path, // relative to the current drive. '//path' is treated // as absolute one.
"/* rb_ary_new2     * just allocates the internal array     */"
// Until we get a little more solid on 1.9 support we will only run interpreted mode
// Note: we change current frames visibility here because the methods which call // this method are all "fast" (e.g. they do not created their own frame).
// Construct the top-level execution frame and scope for the main thread
// we've already done the above priming logic, just add another interface // to the list of intentions unless we're past the point of no return or // already intend to implement the given interface
// switch to an allocator based on a default constructor
// FIXME: This doesn't actually support anything but String
// the instant at which we will ask dtz what the difference between DST and // standard time is
// FIXME: NOT_ALLOCATABLE_ALLOCATOR is probably not right here, since we might // eventually want JavaArray to be marshallable. JRUBY-414
// line 1289
// line 703
// one arg but it's an array, treat it as a proper array
// multimethod, new logic
// in this mode, '.' is always printed
// line 1401
// add Script#run impl, used for running this script with a specified threadcontext and self // root method of a script is always in __file__ method
// line 1822
// Instance method
// temp locals must start after last real local
// Single node in list
// iso-2022-jp
//yyLhs 542
// array-of-interface-type creation/identity
// encountered a node we don't recognize, set everything to true to disable optz
// line 955
// Character read before previous read
// we were woken up without being selected...poll for thread events and go back to sleep
// int, native // long, native
// FIXME: these descriptions should probably be moved out, // to Constantine project which deals with all platform-dependent constants.
// Timeout module methods
/* MSB is 1; assuring non-zero initial array */
// TODO: this isn't handling multibyte yet
// successfully got back a jitted method
// Object is ready, create top self
// line 893
// Compilation
// line 1026
// This try/catch is to allow failing over to the "commands" logic // when running from within a jruby-complete jar file, which has // jruby.home = a jar file URL that does not resolve correctly with // JRubyFile.create.
// ignore if it's not a global var
// copy and splat arguments out of the scope to use for zsuper call
// This while loop is for restarting the block call in case a 'redo' fires.
// Now, for all variables used by 'i' mark them live before 'i'
// mutex that controls modifications of internal finalizers
// Let's only generate methods for those the user may actually  // intend to override.  That includes any defined in the current // class, and any ancestors that are also JavaProxyClasses (but none // from any other ancestor classes). Methods defined in mixins will // be considered intentionally overridden, except those from Kernel, // Java, and JavaProxyMethods, as well as Enumerable.  // TODO: may want to exclude other common mixins?
// end class
// line 1398
// FIXME: This is almost entirely duplicated from Main.java
// 'u' with space or plus flags is same as 'd'
/* Hack in to replace usual readline with this */
// need to reexamine this
// line 1189
// @JRubyMethod(name = "exact?")
// File where current executing unit is being evaluated
// line 1119
// line 932
// MRI behavior: Be default, 2 digits // in the exponent. Use 3 digits // only when necessary. // See comment for writeExp method for more details.
// add 'new' with full signature, so it's guaranteed to be directly accessible // TODO: no need for this to be a full, formal JVM signature
// bench straight-up integer fib(30)
// Special classes like Collections.EMPTY_LIST are inner classes that are private but  // implement public interfaces.  Their methods are all public methods for the public  // interface.  Let these public methods execute via setAccessible(true).
// classes are directly in the hierarchy, so no special logic is necessary for implementer
// initialize builtin libraries
// will have a trailing '.' // g fills trailing zeroes if #
// hashcode is a combination of the interfaces and the Ruby class we're using // to implement them
// line 1014
// constants webrick crashes without
// FIXME: Get rid of laziness and handle restricted access elsewhere
// "hashdef" object, a hash with a default
/* $/: input record separator */
// initialize cache of parameter types to method
// RubyContinuation
// TODO: protected methods.  this is going to require a rework // of some of the mechanism.
// FIXME warning
// TODO: This filtering is kind of gross...it would be nice to get some parser help here
// line 1620
// reopen a java module
// Enebo:  c can never be antrhign but '.' // Why did I put this here?
// '.' and all precision digits printed
// FIXME: Not sure what the semantics of transfer are //cFiber.defineFastMethod("transfer", cb.getFastOptMethod("transfer"));
// line 1938
// indices for temp values
// MRI extends in order from last to first
// print out as a nice Ruby backtrace
// not allowed for existing Java interface modules
// encoding doesn't have to be copied.
// depends on IO, FileTest
//            e.printStackTrace();
// single precision, big-endian
/* $@: error position */
// check if it's true, ending if so
// line 1314
// line 776
//need padding //I'm fairly sure there is a library call to create a //string filled with a given char with a given length but I couldn't find it
// parent.setConstant(name, proxyClass); // where the name should come from ?
// Get a new label using a generic prefix
// line 434
// The class of this object
// Next x                                        // e = d - x^2
// zero args, no block; load NULL_BLOCK
// TODO: we should be able to optimize this quite a bit post-1.0.  JavaClass already // has all the methods organized by method name; the next version (supporting protected // methods/fields) will have them organized even further. So collectMethods here can // just lookup the overridden methods in the JavaClass map, should be much faster.
// FIXME: peek('u') utf8 stuff for 1.9
// ENEBO: Perhaps slow but simple for now
// silently ignore
// An interrupt or timeout may have caused us to miss // a notify that we consumed, so do another notify in // case someone else is available to pick it up.
// Look through all mappings to find a match entry for this field
"/*    @JRubyMethod    public IRubyObject to_proc() {        return RubyProc.newProc(getRuntime(),                                CallBlock.newCallClosure(this, getRuntime().getSymbol(), Arity.noArguments(), new ToProcCallback(this), getRuntime().getCurrentContext()),                                Block.Type.PROC);    }    */"
// Explicit zero in MRI returns immediately
// Next indicates to decode using native encoding format
// FIXME: This needs to happen for lambdas //            args.checkArgCount(runtime, parameters.length);
// TODO: port exact behavior from MRI, and move most locking logic into ChannelDescriptor // TODO: for all LOCK_NB cases, return false if they would block
// attempt to set the permissions, if we have been passed a POSIX instance, // and only if the file was created in this call.
// try to use POSIX for this first
// line 821
// hash
// colon3, assign in Object
// scripts and modules
// line 1149
// Dataflow problem with which this node is associated // CFG node for which this node contains info.
// If not already a proc then we should try and make it one.
// OK, we now have the significand in digits[0...nDigits] // and the exponent in exponent.  We're ready to format.
// We don't support .so, but some stdlib require .so directly // replace it with .jar to look for an extension type we do support
// line 1610
// ?G  | boolean | True if file1 exists and has a group ownership equal to the caller's group
// line 769
// For visibility we need real meta class and not anonymous one from class << self
// Tainting here if we ever want it. (secure 4)
// (1|intlen)
// FIXME: this should go somewhere more generic -- maybe IdUtil
// No block from a nil proc
// line 670
// TODO: reads/writes from frame // TODO: information on scoping // TODO: visibility?
// define access methods.
// FIXME: Need to detect magic_comment in 1.9 here for encoding
// end setup method
// first, iterate over all required args
// promise to implement one to three with block
// something?
// JRUBY-646 // presumably this require should fail
// line 1034
/* $,: output field separator */
// line 1825
// try to mine out a Ruby frame using our list of interpreter entry-point markers
// set thread context JRuby classloader here, for the main thread
//$@ returns nil if $!.backtrace is not an array
// Bind 'normal' parameter values to the local scope for this method.
// line 1433
// This is needed to unpack stuff
// load handle
// ?g  | boolean | True if file1 has the \CF{setgid} bit
// line 344
// line 772
"/*     * Throw bad file descriptor is we can not read on supplied descriptor.     */"
// do median of 7 if the array is over 200 elements.
// line 1803
// too big for us
// line 936
// call site
// start out with a default RubyObject allocator
// delete implementation
// note that addMethod now does its own put, so any change made to // functionality here should be made there as well
// JRUBY-3014: make __FILE__ dynamically determined at load time, but // we provide a reasonable default here
// Last full line read.
// TODO: It would be nice to throw a better error for this
// line 1305
//AF_INET
// rb_yield_values(2,...) equivalent
// line 507
//        assertSame(script1, script2);
/* $;: field separator */
// This appears to be some windows-only mode.  On a java platform this is a no-op
// line 818
// required and optional only
// generation count for O(1) clears
// line 592
// wait for the go signal
// If we fail to find as a normal Ruby script, we try to find as an extension, // checking for a builtin first.
// datagram, set accordingly // again, AF_INET
// First we make modifications to the class, to adapt it to being // both a Ruby class and a proxy for a Java type
// actual required is greater than 3, raise error (we don't support actual required > 3)
// line 858
// block (primary)
// line 519
// load block if it accepts block
// update all hierarchies into which this module has been included
// line 1557
/* wrapped to \0...\0.  search next valid char. */
// b64_xtable for decoding Base 64
// Version information:
// line 896
// Possible Checksum Byte
// line 701
// single method, use normal logic
// Length check is a hack.  We should not be reeiving "" as a filename ever.
// line 368
// arg cannot be negative
// line 372
// line 321
// build scope names string
// entry exists, proxy has been gc'ed. replace entry.
// promise to implement two to three
// long name option
// promise to implement three to N
// [adapter, tc]
// Now add all aliases for the static methods (fields) as appropriate
// other java proxy classes added under their superclass' java proxy
// index of variable for this arg
// JRubyServer
// This is a bit convoluted because (1) SocketChannel.bind is only in jdk 7 and // (2) Socket.getChannel() seems to return null in some cases
// ?=  | boolean | True if the modification times of file1 and file2 are equal
/* ENEBO: arg surrounded by in_defined set/unset*/
// retry handling in the rescue block
/* NUL */
// for Thread::start, which does not call the subclass's initialize
// No auto cleanup needed
"/*              * Execute a Ruby script (add the menubar to the frame).             */"
// ----- Ruby Instance Methods -------------------------------------------------
// construct a new cache with thread's classloader and no limit
//do some padding, I don't understand the padding strategy
// ignore and try windows version
// this is a simple rethrow handler
/* $_: last read line string */
// FIXME: missing arity check
// switch // if
/* See if it is a reserved word.  */
// line 1574
// line 610
// rest of the argument array!
/* most significant w-r bits */
// ignore...bean doesn't get registered // TODO: Why does that bother me?
// chain to the next segment of this giant method
// Complete using a Proc object
// line 969
/* DStrNode: :"some text #{some expression}"*/
/* rb: readable */
// Get map of all fields we want to define.
// This is pretty inefficient for building an array, so just raise an error if someone's using it for a lot of elements
// Equivalent of Data_Wrap_Struct
// line 1067
// line 361
// line 1791
// Args
//            return len - n;
// scan class hierarchy for module
// grab nil for local variables
// line 327
// line 986
// While processing loops, this returns the loop that we are processing.
//        case RUBY_HYBRID: //            backtrace = ThreadContext.createRubyHybridBacktrace(getRuntime(), backtraceFrames, javaStackTrace, getRuntime().getDebug().isTrue()); //            break;
// For JRUBY-2759, when MET choose CET timezone to work around Joda
// line 388
/* \p{Hiragana} */
// Numeric.equal
// MRI behavior: validate only the unnumbered arguments
// ClassId is the name of the class/module sans where it is located. // If it is null, then it an anonymous class.
/* octal constant */
//tmpPosition is required because getPosition()'s side effects. //if the warning is generated, the getPosition() on line 954 (this line + 18) will create //a wrong position if the "inclusive" flag is not set.
// __END__ marker offset (-1 means none present)
/* NOEX_PRIVATE for toplevel */
// Traverse the instructions in this basic block in reverse order!
// get any included interfaces
// IN changed!
// mandatory constants we haven't implemented
// let the width (if any), get processed in the next loop, // so any leading 0 gets treated correctly
// otherwise, there's a receiver, so we pass that in directly for the sclass logic
// line 1905
// TODO: read into buffer using all the fread logic //        int read = openFile.getMainStream().fread(buffer);
// declare the field
// line 625
// TODO: deal with varargs
/* retrieve last replacer */
// no bignorm here needed
// allow it to bubble up
// line 809
// state[i] &= 0xffffffffL;
// line 1047
// TODO: People extending GzipWriter/reader will break.  Find better way here.
// Make sure any read()s after close fail.
// ?e  | boolean | True if file1 exists
// TODO: what about n arg?
// line 1352
// for prec 15 root x0 must surely be OK // return small prec roots without iterations
// rename is successful
// odd...but it is odd in ruby too.
// break jump
//[String] //[String, String] //[String] //[String, RubyClass] //[String, RubyClass, RubyClass] //[String, RubyClass]
// Exclusive locks in Java require the channel to be writable, otherwise // an exception is thrown (terminating JRuby execution). // But flock behavior of MRI is that it allows // exclusive locks even on non-writable file. So we convert exclusive // lock to shared lock if the channel is not writable, to better match // the MRI behavior.
// Struct methods
// Get the convention from the options hash
// s/b true, since intLength > 0
//switch
// line 579
// line 486
// we do have another slash; omit both / and . (JRUBY-1606)
// we have a body, do a full-on method
// goto next bucket
// if entry starts with a slash, skip it since classloader resources never start with a /
// get current context
// line 883
// ?A  | Time    | Last access time for file1
// Accumulate call arguments
//Catch active, throw for catch to handle
// line 575
// We know this is a block scope because a local scope cannot be within a local scope // If topScope was itself it would have created a LocalAsgnNode above.
// dup2 new fd into self to preserve fileno and references to it
//yyLen 542
// TODO: build arg list based on number of args, optionals, etc
// Collect iteration precisions beforehand
// FIXME: Determine if a real allocator is needed here. Do people want to extend // JavaClass? Do we want them to do that? Can you Class.new(JavaClass)? Should // you be able to? // TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// we append an index to ensure two identical method names will not conflict
// generate fixnums initialization code
// Was a goto in original ruby lexer
// identity equality
// extract item from array
// TODO: This is where we would want to do precision checks to see // if it's non-destructive to coerce a given type into the target // integral primitive
// TODO same zero-length checks as file above
// store call information so method_missing impl can use it
// FIXME: How much more obtuse can this be? // Heredoc already parsed this and saved string...Do not parse..just return
// end of try block
// line 1076
// this is where we'll get connected when classes are opened using // package module syntax.
// // Wake up any channels that became unblocked //
// FIXME: Don't allow multiple threads to do this at once
// last node, either !instanceof WhenNode or null, is the else
// line 494
// line 751
// What handles warnings
// just push nil for pragmas
// restrictive security policy; no matter, we only want public // classes anyway
/* ParserSupport.literal_concat).  Check token length*/
// TODO: do something here?
// line 797
// not to be confused with RubyObject's flags
// happens with native exceptions, should not filter those out
// If a closure, the next is simply a return from the closure! // If a regular loop, the next is simply a jump to the end of the iteration
/* FIXME: arg_concat logic missing for opt_call_args*/
// thread context, receiver and original args
// same as argument_types, but matches name in java.lang.reflect.Constructor/Method
// add all public constructors (note: getConstructors only returns public ones)
// interfaces are handled as modules
// line 1643
// If we got a simplified value, mark the call dead and insert a copy in its place!
// line 1603
// Control flow graph for this scope
/*arg1*/
// // Copy out any buffered bytes //
// precision for G/g includes integer digits
// clear basename so it's anonymous when raising
// Ignore bad constant named inner classes pending JRUBY-697
// create static init, for a monitor object
// line 1270
// not true, eval value and assign
// looks like someone's trying to raise a Java exception. Let them.
// next jump
// line 378
// line 826
// Note that WE CAN'T say the following, because of the on-the-fly conversion of Fixnum to Long // assertTrue(value == valueViaValuesIterator);
// line 907
// with args, with block
// FIXME: This is an ugly hack to resolve JRUBY-1381; I'm not proud of it
// line 1995
// line 339
// no connection immediately accepted, let them try again
// no library or extension found, try to load directly as a class
// Get the value from the map via the values iterator
// args array
// proxy is complete, return it
// SSS FIXME: Does int suffice, or do we need long?
// line 1445
// option_to_str
// Skip embedded comments in pack format string
// line 495
/*$5 == null ? NilImplicitNode.NIL : $5;*/
// Arrays, Ranges, etc. are compound values // Variables, fixnums, floats, etc. are "atomic" values
// Library has already been loaded in some form, bail out
// Since we don't have any other error reporting mechanism, we // add the error message as an always-failing test to the test suite.
// JRubyService
// line 1126
// Check for special shell characters [<>|] at the beginning // and end of each command word and don't run in process if we find them.
// add all startup load paths to the list first
// documentation nodes
// line 1573
// Class method
// set self to the class
// load self, class, and name
// ignore leading zeroes
// line 314
// use parent's marshal
// TODO: rounding mode should not be hard-coded. See #mode.
// lazily create class init only if necessary
// line 1337
/* ---------- Public fields, methods --------- */
// Ordering of array traversal not important, just intuitive
// line 311
"/*     * Ensure that separator is valid otherwise give it the default paragraph separator.     */"
// We need to guarantee that any existing reads of old Map can //  proceed. So we cannot yet null out each bin.
// Lastline
// we need to collect all methods, though we'll only // install the ones that are named in this class
// // limit each iteration to a max of BULK_READ_SIZE to avoid over-size allocations //
// Atomic ?
// InvocationCallback
// line 342
// inspect body and args
// it's safe since adler.update doesn't modify the array
// otherwise, use normal args compiler
// List of modules, classes, and methods defined in this scope!
// add java_method for unbound use
// TODO: is this correct ?
// if we might be moving this time from !DST -> DST, the offset is assumed // to be the same as it was just before we last moved from DST -> !DST
// note that we'll potentially see the refs for both the java object and // proxy -- whichever we see first will cause the entry to be removed; // the other will not match an entry and will be ignored.
// line 1632
// if it's the exception we're expecting
// if that succeeds, the others should as well
// first, iterate over all pre args
// record separator var, to speed up io ops that use it
// source extensions
// Check the 2 values obtained via different means
/* least significant r bits */
// We override that the logic which uses this
// line 808
// virtual invocation
// line 823
// no block
// line 1496
// not valid for "dead" state
// Called before any write to make sure the // header is always written before the first bytes
// line 1193
// set up with min values and then add to allow rolling over
// DigestLibrary
// line 501
// FIXME: Can get optimized for IEqlNode
// Force t3 to quit, just in case if it's stuck. // Note: On some platforms, even interrupt might not // have an effect if the thread is IO blocked.
// See if we have a converter for the job...
// If we don't have a body, check for required or opt args // if opt args, they could have side effects // if required args, need to raise errors if too few args passed // otherwise, method does nothing, make it a nop
// The "root" method of a class -- the scope in which all definitions, and class code executes, equivalent to java clinit
/* compstmt position includes both parens around it*/
// line 414
// Is this thread currently doing an defined? defined should set things like $!
// line 504
// line 470
// drop through for sign
// SSS FIXME: We need to build debug information tracking into the IR in some fashion // So, these methods below would have to have equivalents in IR_Scope implementations.
// line 1779
/* no mb || ismbchar(term)*/
// can't use -v and stdin
// size + 1;
// state[j] &= 0xffffffffL;
/* intDigits = 1; */
// perform assignment for the next node
// set the full name
// only supports simple parallel assignment of up to 10 values to the same number of assignees
// object is a custom class that extended one of the native types other than Object
// Loads
// interned, OK for "fast" methods
// it doesn't handle special cases
// line 526
// Translate "x &&= y" --> "x = (is_true(x) ? y : false)" --> //  //    x = -- build(x) should return a variable! -- //    f = is_true(x) //    beq(f, false, L) //    x = -- build(y) -- // L: //
// All braces pushed..
// &foo are not getting set from somewhere...I want the following assert to be true though //assert variableValues[offset] != null : "Getting unassigned: " + staticScope.getVariables()[offset];
// prepare labels for opt logic
// line 1644
// raise will also wake the thread from selection
// Populate up to shorter of calling arguments or local parameters in the block
// call chmod after we created the RandomAccesFile // because otherwise, the file could be read-only
// Wrong Parameter ?
// isRetained=true
"/** rb_mod_remove_cvar     *     * FIXME: any good reason to have two identical methods? (same as remove_class_variable)     */"
// There is something valid in the sun_path component
// double precision, native // double precision, native
// line 1658
//System.err.println(" calculateLength()/str=" + str);
// processes seem to have some peculiar locking sequences, so we // need to ensure nobody is trying to close/destroy while we are
// By default, return instructions cannot be deleted
// Try to look up field for simple name // get field; if nonnull, go straight to dispatch
// we won't enter the loop -- just build the condition node
/* complete, according to Posix.2 */
// IOT is also 6
// one optional, one required args
// Get the container for this new module
// line 1639
// restore the original exception
// empirically it appears that to_ary coersions always return array or nil, so this // should always be an array by now.
// line 738
// If not a property, but is boolean add ?-postfixed aliases.
// line 1175
// FIXME: We should not be regenerating this over and over
// We're not setting the provider or anything, but it seems that BouncyCastle does some internal things in its // provider's constructor which require it to be executed in a secure context. // Ideally this hack should be removed. See JRUBY-3919 and this BC bug: //   http://www.bouncycastle.org/jira/browse/BJA-227
// finally, post args
// three args, no block; do nothing
// attempt to decriticalize all if we're the critical thread
// throw redo error if we're still good
// FIXME: optimize for cases where we have no false branch
// MRI behavior: use first byte of string value if len > 0
// ////////////////// CONSTANT RUBY METHODS //////////////// //
// modules are included with a shim class; we must find that shim to handle super() appropriately
//System.err.println("calculateLength()/str=" + str);
// Build args
// skip this one, probably no 'ls' (windows)
// // fields should really be an immutable map as it is never modified after construction //
// JRUBY-2380, associate thread early so it shows up in Thread.list right away, in case it doesn't run immediately
// use same ClassIndex as metaclass, since we're technically still of that type
// create constructorInstaller; if there are no constructors, it will disable construction
// Used during optimization passes to propagate type and other information
// not synchronizing these methods, no harm if these values get set more // than once. // (also note that there's no chance of getting a partially initialized // class/module, as happens-before is guaranteed by volatile write/read // of constants table.)
// fields needed for dispatch and such
// if it's not a rescue or ensure, there's a frame associated, so decrement
// line 925
// line 362
// <=> may return nil in many circumstances, e.g. 3 <=> NaN
// not using a new scope, use saved one for a flat closure
